,gen,gen err,DP pre,DP pre err,DP dbn,DP dbn err,DP pos,DP pos err,CD4 spl,CD4 spl err,CD4 negS,CD4 negS err,CD8 spl,CD8 spl err,CD8 negS,CD8 negS err
TRAV4N-3,0.005196666666666666,0.00013195544716697766,0.00726552179656539,0.000310926293336968,0.0076919209692825905,0.0006242420014628472,0.007953837851301424,0.00025799678850206944,0.007890755175914045,0.0003902803553016736,0.007729897823189694,0.0008319288759809641,0.0037840666639829316,0.00022576383486456883,0.003908045977011494,0.0009496906695872784
TRAV7D-3,0.004863333333333333,0.00012763209293962136,0.0075297225891677675,0.0003165705288790949,0.005982605198330903,0.0005500625767432439,0.010070986757441155,0.00029061469638264693,0.00846532472755827,0.00040435514411395185,0.009151488227454464,0.0009058395853796875,0.01246595010936221,0.00041153591344186597,0.009885057471264367,0.0015148894601359317
TRAV6-4,0.004763333333333333,0.00012630680474909467,0.006023778071334214,0.0002829375995730131,0.005429591272434769,0.0005238791230521401,0.007065465565195732,0.00024305516575113577,0.008178039951736158,0.0003973780799986053,0.009506885828520658,0.000923423733226723,0.005555331910953665,0.00027378700287237356,0.005057471264367816,0.0010809796833670603
TRAV8D-2,0.00458,0.0001238409786783034,0.006499339498018494,0.00029396350639188416,0.006535619124227037,0.0005750818125491627,0.00996305367595168,0.00028903776505440244,0.006339417386474633,0.0003495486198343127,0.005864060417592181,0.0007239292325453848,0.014277471384673187,0.00044081754753922965,0.012873563218390805,0.0017313400463044902
TRAV9-1,0.004533333333333334,0.00012320557947923793,0.0036856010568031704,0.00022105740576608174,0.0028656176160072396,0.0003801037738650601,0.004624517414587571,0.00019639964931240182,0.011759523490318504,0.00047735798202346036,0.006574855619724567,0.0007668199430559924,0.004307395032406102,0.00024093257205872078,0.002988505747126437,0.0008300999681837308
TRAV17,0.004143333333333333,0.00011776389577518293,0.006221928665785997,0.0002875818432036313,0.007440551002966166,0.000613880664070524,0.004782265764456806,0.0001997369649428647,0.007239576350717254,0.00037370907447263396,0.002754331408262994,0.0004953733295733207,0.003099714182198784,0.0002042620629358062,0.002528735632183908,0.0007634058796146408
TRAV14-3,0.004003333333333334,0.00011574915422457179,0.004425363276089828,0.0002423178234447177,0.003971645467799508,0.00044773150195099535,0.007223213915064967,0.00024577274135794905,0.009135655871143202,0.00042019929367947853,0.009329187027987561,0.0009146723824289264,0.003300994323900004,0.0002108107946509016,0.005747126436781609,0.0011527235015599913
TRAV6D-4,0.003986666666666667,0.00011550700091015809,0.005138705416116249,0.0002612112753617043,0.005329043285908199,0.0005189797707288644,0.006318236539499356,0.00022975830780890187,0.007775841265585199,0.0003874059987002607,0.008796090626388272,0.000887919907693557,0.0049649101619634204,0.000258753350179434,0.004137931034482759,0.000977335517834298
TRAV15D-2/DV6D-2,0.00384,0.00011335410005818052,0.001809775429326288,0.00015475939976449698,0.0024131516766376752,0.00034872844984391247,0.002324712524388725,0.00013908953613968995,0.0014364238791105663,0.00016598302537096623,0.000888494002665482,0.0002810912643828126,0.0020128014170121976,0.00016450986083283822,0.0020689655172413794,0.0006903682401614795
TRAV15-2/DV6-2,0.0035633333333333333,0.00010917922082181783,0.0015191545574636724,0.00014176945524919335,0.0024131516766376752,0.00034872844984391247,0.0019344929220806177,0.00012685536772323662,0.0011108344665121713,0.00014594070180711703,0.0009773434029320303,0.00029482409020197003,0.001650497161950002,0.00014894308042502253,0.0020689655172413794,0.0006903682401614795
TRAV13-5,0.0034666666666666665,0.00010768293650720532,0.0066974900924702775,0.0002984403860337457,0.006988085063596602,0.0005947890281919689,0.00155257586450247,0.00011362369373419962,0.0008427020090781989,0.00012709562596499805,0.00035539760106619283,0.00017773037459172035,0.0008587952712585376,0.0001073954945972685,0.0011494252873563218,0.0005143339551655278
TRAV2,0.00293,9.897112205082855e-05,0.0035270805812417437,0.00021623415798351957,0.002614247649690815,0.00036300448456932525,0.003196479721034497,0.00016316784906552576,0.0019152318388140884,0.00019170650179913776,0.0026654820079964462,0.00048729635187166816,0.003770647987869517,0.00022536168253639983,0.005517241379310344,0.0011293046718140905
TRAV15-1/DV6-1,0.00274,9.569931382547457e-05,0.0013606340819022457,0.00013415843701393583,0.0022120557035845358,0.000333848579093911,0.0009547926439453692,8.907736791511014e-05,0.001474728515886848,0.00016818478824723472,0.0005330964015992892,0.00021769369727894945,0.001073494089073172,0.00012008469108587648,0.0018390804597701149,0.0006508107546158035
TRAV7-1,0.002446666666666667,9.04185239952604e-05,0.002906208718626156,0.00019622106153517705,0.0018601377507415414,0.00030608904981990266,0.0030885466395450204,0.00016038078313418736,0.005056212054469193,0.0003119740654187445,0.0036428254109284763,0.0005699490330743206,0.00230801229150732,0.00017618725728490802,0.0016091954022988506,0.0006087078668450043
TRAV15N-1,0.0018966666666666667,7.958777148764986e-05,0.0008190224570673712,0.0001040585430473796,0.001608767784425117,0.00028462132136719776,0.0005811781310971813,6.948425550873877e-05,0.0010150728745714668,0.00013950173085512871,0.000888494002665482,0.0002810912643828126,0.0007246085101243911,9.864244767249995e-05,0.0004597701149425287,0.00032518129461590233
TRAV15D-1/DV6D-1,0.00041,3.6976032778003645e-05,0.00011889035667107,3.963247463982467e-05,0.0003016439595797094,0.00012316420249460855,0.0001328407156793557,3.3212384678555496e-05,0.00011491391032884531,4.691610286638356e-05,8.884940026654821e-05,8.885334728684141e-05,8.05120566804879e-05,3.287023264665949e-05,0.0,0.0
TRAV9D-2,4.6666666666666665e-05,1.2472482303648091e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9152318388140883e-05,1.9152501792912552e-05,0.0,0.0,0.0,0.0,0.0,0.0
TRAV9D-1,6.666666666666667e-06,4.714060921368154e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
